Iter 1, Loss = 1.087855, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 2, Loss = 1.110286, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 3, Loss = 1.086096, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 4, Loss = 1.090153, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 5, Loss = 1.084819, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 6, Loss = 1.077567, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 7, Loss = 1.071642, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 8, Loss = 1.077888, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 9, Loss = 1.069912, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 10, Loss = 1.078206, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 11, Loss = 1.062312, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 12, Loss = 1.060368, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 13, Loss = 1.061247, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 14, Loss = 1.054091, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 15, Loss = 1.054807, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 16, Loss = 1.049623, Training Accuracy = 0.44531, Validation Accuracy = 0.48529
Iter 17, Loss = 1.047865, Training Accuracy = 0.46875, Validation Accuracy = 0.51838
Iter 18, Loss = 1.044673, Training Accuracy = 0.50781, Validation Accuracy = 0.56985
Iter 19, Loss = 1.037058, Training Accuracy = 0.50000, Validation Accuracy = 0.57721
Iter 20, Loss = 1.031546, Training Accuracy = 0.50000, Validation Accuracy = 0.57721
Iter 21, Loss = 1.022316, Training Accuracy = 0.48438, Validation Accuracy = 0.57353
Iter 22, Loss = 1.014023, Training Accuracy = 0.48438, Validation Accuracy = 0.57353
Iter 23, Loss = 1.011852, Training Accuracy = 0.49219, Validation Accuracy = 0.56618
Iter 24, Loss = 1.012807, Training Accuracy = 0.50000, Validation Accuracy = 0.56618
Iter 25, Loss = 1.010098, Training Accuracy = 0.48438, Validation Accuracy = 0.55515
Iter 26, Loss = 1.003523, Training Accuracy = 0.48438, Validation Accuracy = 0.54779
Iter 27, Loss = 1.001981, Training Accuracy = 0.49219, Validation Accuracy = 0.54779
Iter 28, Loss = 0.972889, Training Accuracy = 0.50000, Validation Accuracy = 0.54779
Iter 29, Loss = 0.974665, Training Accuracy = 0.48438, Validation Accuracy = 0.55515
Iter 30, Loss = 0.968971, Training Accuracy = 0.51562, Validation Accuracy = 0.55515
Iter 31, Loss = 0.957506, Training Accuracy = 0.49219, Validation Accuracy = 0.56250
Iter 32, Loss = 0.965698, Training Accuracy = 0.50781, Validation Accuracy = 0.56618
Iter 33, Loss = 0.958639, Training Accuracy = 0.50000, Validation Accuracy = 0.56618
Iter 34, Loss = 0.952658, Training Accuracy = 0.51562, Validation Accuracy = 0.56985
Iter 35, Loss = 0.948694, Training Accuracy = 0.50781, Validation Accuracy = 0.56985
Iter 36, Loss = 0.936182, Training Accuracy = 0.52344, Validation Accuracy = 0.56985
Iter 37, Loss = 0.947121, Training Accuracy = 0.51562, Validation Accuracy = 0.56985
Iter 38, Loss = 0.923396, Training Accuracy = 0.53125, Validation Accuracy = 0.56985
Iter 39, Loss = 0.930875, Training Accuracy = 0.52344, Validation Accuracy = 0.57353
Iter 40, Loss = 0.927529, Training Accuracy = 0.53125, Validation Accuracy = 0.57353
Iter 41, Loss = 0.925069, Training Accuracy = 0.52344, Validation Accuracy = 0.57353
Iter 42, Loss = 0.923997, Training Accuracy = 0.52344, Validation Accuracy = 0.57353
Iter 43, Loss = 0.916732, Training Accuracy = 0.53125, Validation Accuracy = 0.57353
Iter 44, Loss = 0.910793, Training Accuracy = 0.51562, Validation Accuracy = 0.57353
Iter 45, Loss = 0.905289, Training Accuracy = 0.52344, Validation Accuracy = 0.57353
Iter 46, Loss = 0.915491, Training Accuracy = 0.52344, Validation Accuracy = 0.57353
Iter 47, Loss = 0.902845, Training Accuracy = 0.53125, Validation Accuracy = 0.57353
Iter 48, Loss = 0.905211, Training Accuracy = 0.52344, Validation Accuracy = 0.57721
Iter 49, Loss = 0.894078, Training Accuracy = 0.52344, Validation Accuracy = 0.57721
Iter 50, Loss = 0.887217, Training Accuracy = 0.52344, Validation Accuracy = 0.57721
Iter 51, Loss = 0.893707, Training Accuracy = 0.54688, Validation Accuracy = 0.57721
Iter 52, Loss = 0.887848, Training Accuracy = 0.51562, Validation Accuracy = 0.57721
Iter 53, Loss = 0.895054, Training Accuracy = 0.53125, Validation Accuracy = 0.57721
Iter 54, Loss = 0.882465, Training Accuracy = 0.53125, Validation Accuracy = 0.57721
Iter 55, Loss = 0.868086, Training Accuracy = 0.51562, Validation Accuracy = 0.57721
Iter 56, Loss = 0.888498, Training Accuracy = 0.52344, Validation Accuracy = 0.57721
Iter 57, Loss = 0.888600, Training Accuracy = 0.53125, Validation Accuracy = 0.57721
Iter 58, Loss = 0.883174, Training Accuracy = 0.51562, Validation Accuracy = 0.57721
Iter 59, Loss = 0.877559, Training Accuracy = 0.52344, Validation Accuracy = 0.57721
Iter 60, Loss = 0.867959, Training Accuracy = 0.52344, Validation Accuracy = 0.57721
Iter 61, Loss = 0.873900, Training Accuracy = 0.53906, Validation Accuracy = 0.57721
Iter 62, Loss = 0.883297, Training Accuracy = 0.52344, Validation Accuracy = 0.57721
Iter 63, Loss = 0.878720, Training Accuracy = 0.53906, Validation Accuracy = 0.58088
Iter 64, Loss = 0.879300, Training Accuracy = 0.53125, Validation Accuracy = 0.58088
Iter 65, Loss = 0.878650, Training Accuracy = 0.53125, Validation Accuracy = 0.58088
Iter 66, Loss = 0.852168, Training Accuracy = 0.55469, Validation Accuracy = 0.58088
Iter 67, Loss = 0.864942, Training Accuracy = 0.52344, Validation Accuracy = 0.58456
Iter 68, Loss = 0.869822, Training Accuracy = 0.52344, Validation Accuracy = 0.58088
Iter 69, Loss = 0.866969, Training Accuracy = 0.53906, Validation Accuracy = 0.58456
Iter 70, Loss = 0.860882, Training Accuracy = 0.55469, Validation Accuracy = 0.58824
Iter 71, Loss = 0.863869, Training Accuracy = 0.54688, Validation Accuracy = 0.58824
Iter 72, Loss = 0.851393, Training Accuracy = 0.53906, Validation Accuracy = 0.59559
Iter 73, Loss = 0.839404, Training Accuracy = 0.56250, Validation Accuracy = 0.59559
Iter 74, Loss = 0.850198, Training Accuracy = 0.53906, Validation Accuracy = 0.60294
Iter 75, Loss = 0.852516, Training Accuracy = 0.53906, Validation Accuracy = 0.60662
Iter 76, Loss = 0.855257, Training Accuracy = 0.54688, Validation Accuracy = 0.60662
Iter 77, Loss = 0.837867, Training Accuracy = 0.54688, Validation Accuracy = 0.61397
Iter 78, Loss = 0.843380, Training Accuracy = 0.56250, Validation Accuracy = 0.61765
Iter 79, Loss = 0.842521, Training Accuracy = 0.58594, Validation Accuracy = 0.62132
Iter 80, Loss = 0.838485, Training Accuracy = 0.59375, Validation Accuracy = 0.62500
Iter 81, Loss = 0.839765, Training Accuracy = 0.56250, Validation Accuracy = 0.62500
Iter 82, Loss = 0.831220, Training Accuracy = 0.57031, Validation Accuracy = 0.62132
Iter 83, Loss = 0.829387, Training Accuracy = 0.57812, Validation Accuracy = 0.62500
Iter 84, Loss = 0.840994, Training Accuracy = 0.57812, Validation Accuracy = 0.62500
Iter 85, Loss = 0.828349, Training Accuracy = 0.57812, Validation Accuracy = 0.62868
Iter 86, Loss = 0.835065, Training Accuracy = 0.57031, Validation Accuracy = 0.63235
Iter 87, Loss = 0.830213, Training Accuracy = 0.55469, Validation Accuracy = 0.63235
Iter 88, Loss = 0.815555, Training Accuracy = 0.58594, Validation Accuracy = 0.63603
Iter 89, Loss = 0.824510, Training Accuracy = 0.59375, Validation Accuracy = 0.62868
Iter 90, Loss = 0.820302, Training Accuracy = 0.57031, Validation Accuracy = 0.63235
Iter 91, Loss = 0.832207, Training Accuracy = 0.58594, Validation Accuracy = 0.62868
Iter 92, Loss = 0.813286, Training Accuracy = 0.60156, Validation Accuracy = 0.63235
Iter 93, Loss = 0.808586, Training Accuracy = 0.61719, Validation Accuracy = 0.62868
Iter 94, Loss = 0.802848, Training Accuracy = 0.60938, Validation Accuracy = 0.63235
Iter 95, Loss = 0.809076, Training Accuracy = 0.60156, Validation Accuracy = 0.63235
Iter 96, Loss = 0.819697, Training Accuracy = 0.59375, Validation Accuracy = 0.63235
Iter 97, Loss = 0.793425, Training Accuracy = 0.57812, Validation Accuracy = 0.63603
Iter 98, Loss = 0.802196, Training Accuracy = 0.57031, Validation Accuracy = 0.63603
Iter 99, Loss = 0.811194, Training Accuracy = 0.60156, Validation Accuracy = 0.63235
Iter 100, Loss = 0.794982, Training Accuracy = 0.60156, Validation Accuracy = 0.62868
Iter 101, Loss = 0.800634, Training Accuracy = 0.62500, Validation Accuracy = 0.62868
Iter 102, Loss = 0.803653, Training Accuracy = 0.60938, Validation Accuracy = 0.62500
Iter 103, Loss = 0.793977, Training Accuracy = 0.62500, Validation Accuracy = 0.62868
Iter 104, Loss = 0.793705, Training Accuracy = 0.60938, Validation Accuracy = 0.62868
Iter 105, Loss = 0.787607, Training Accuracy = 0.60938, Validation Accuracy = 0.63235
Iter 106, Loss = 0.801790, Training Accuracy = 0.63281, Validation Accuracy = 0.62868
Iter 107, Loss = 0.791998, Training Accuracy = 0.62500, Validation Accuracy = 0.63235
Iter 108, Loss = 0.787086, Training Accuracy = 0.62500, Validation Accuracy = 0.62868
Iter 109, Loss = 0.785660, Training Accuracy = 0.60156, Validation Accuracy = 0.63235
Iter 110, Loss = 0.777502, Training Accuracy = 0.60156, Validation Accuracy = 0.63235
Iter 111, Loss = 0.786923, Training Accuracy = 0.63281, Validation Accuracy = 0.63235
Iter 112, Loss = 0.776756, Training Accuracy = 0.64844, Validation Accuracy = 0.63235
Iter 113, Loss = 0.765314, Training Accuracy = 0.61719, Validation Accuracy = 0.62868
Iter 114, Loss = 0.792845, Training Accuracy = 0.63281, Validation Accuracy = 0.62868
Iter 115, Loss = 0.772549, Training Accuracy = 0.61719, Validation Accuracy = 0.63235
Iter 116, Loss = 0.776983, Training Accuracy = 0.64062, Validation Accuracy = 0.63971
Iter 117, Loss = 0.778803, Training Accuracy = 0.62500, Validation Accuracy = 0.63603
Iter 118, Loss = 0.772383, Training Accuracy = 0.61719, Validation Accuracy = 0.62868
Iter 119, Loss = 0.764322, Training Accuracy = 0.62500, Validation Accuracy = 0.63603
Iter 120, Loss = 0.771133, Training Accuracy = 0.64844, Validation Accuracy = 0.63235
Iter 121, Loss = 0.774450, Training Accuracy = 0.64844, Validation Accuracy = 0.63603
Iter 122, Loss = 0.779441, Training Accuracy = 0.66406, Validation Accuracy = 0.63235
Iter 123, Loss = 0.760036, Training Accuracy = 0.64062, Validation Accuracy = 0.63235
Iter 124, Loss = 0.762345, Training Accuracy = 0.64844, Validation Accuracy = 0.62868
Iter 125, Loss = 0.766591, Training Accuracy = 0.66406, Validation Accuracy = 0.63235
Iter 126, Loss = 0.764285, Training Accuracy = 0.64844, Validation Accuracy = 0.63603
Iter 127, Loss = 0.758510, Training Accuracy = 0.62500, Validation Accuracy = 0.63235
Iter 128, Loss = 0.755632, Training Accuracy = 0.64844, Validation Accuracy = 0.62500
Iter 129, Loss = 0.765834, Training Accuracy = 0.63281, Validation Accuracy = 0.63603
Iter 130, Loss = 0.761873, Training Accuracy = 0.64844, Validation Accuracy = 0.63603
Iter 131, Loss = 0.764559, Training Accuracy = 0.64844, Validation Accuracy = 0.62868
Iter 132, Loss = 0.763360, Training Accuracy = 0.66406, Validation Accuracy = 0.63603
Iter 133, Loss = 0.749721, Training Accuracy = 0.65625, Validation Accuracy = 0.63235
Iter 134, Loss = 0.758107, Training Accuracy = 0.64062, Validation Accuracy = 0.63235
Iter 135, Loss = 0.756260, Training Accuracy = 0.65625, Validation Accuracy = 0.63603
Iter 136, Loss = 0.758939, Training Accuracy = 0.64844, Validation Accuracy = 0.62868
Iter 137, Loss = 0.750663, Training Accuracy = 0.63281, Validation Accuracy = 0.63971
